20,101.87,,
40,101.87,,
60,101.47,,
80,101.87,,
100,101.47,,
120,101.87,,
140,101.87,,
160,101.87,,
180,101.47,,
200,101.87,,
220,101.87,,
240,101.47,,
260,101.31,,
280,101.23,,
300,101.62,,
320,100.77,,
340,101.08,,
360,99.92,,
380,98.65,,
400,97.95,,
420,97.59,,
440,98.43,,
460,100.38,,
480,100.23,,
500,100.34,,
520,100.49,,
540,101.31,,
560,101.55,,
580,101.08,,
600,100.84,,
620,100.93,,
640,100.84,,
660,100.12,,
680,100.77,,
700,101.87,,
720,103.06,,
740,101.69,,
760,101.54,,
780,100.93,,
800,99.78,,
820,100.05,,
840,100.48,,
860,99.92,,
880,100.12,,
900,100.77,,
920,100.69,,
940,100.48,,
960,100.78,,
980,101.85,,
1000,102.74,,
1020,103.75,,
1040,106.48,,
1060,107.38,,
1080,111.52,,
1100,113.02,,
1120,116.87,,
1140,120.4,,
1160,126.03,,
1180,130.84,,
1200,134.36,,
1220,141.72,,
1240,147.23,,
1260,152.13,,
1280,159.82,,
1300,164.54,,
1320,172.16,,
1340,179.11,,
1360,184.4,,
1380,191.48,,
1400,194.18,,
1420,198.71,,
1440,201.36,,
1460,204.05,,
1480,204.86,,
1500,207.09,,
1520,206.96,,
1540,208.52,,
1560,209.92,,
1580,209.67,,
1600,212.13,,
1620,214.94,,
1640,219.31,,
1660,221.24,,
1680,216.49,,
1700,215.2,,
1720,216.75,,
1740,216.16,,
1760,216.16,,
1780,215.16,,
1800,213.53,,
1820,213.77,,
1840,211.66,,
1860,211.11,,
1880,210.38,,
1900,200.71,,
1920,201.19,,
1940,199.96,,
1960,199.49,,
1980,199.51,,
2000,197.24,,
2020,196.79,,
2040,194.85,,
2060,191.49,,
2080,187.55,,
2100,185.68,,
2120,184.82,,
2140,182.63,,
2160,178.98,,
2180,176.34,,
2200,173.12,,
2220,170.86,,
2240,169.01,,
2260,167.51,,
2280,167.29,,
2300,167.25,,
2320,166.81,,
2340,167.88,,
2360,168.37,,
2380,172.57,,
2400,174.43,,
2420,175.04,,
2440,174.75,,
2460,175.73,,
2480,175.82,,
2500,174.66,,
2520,173.45,,
2540,173.56,,
2560,174.32,,
2580,173.07,,
2600,168.51,,
2620,171.91,,
2640,170.79,,
2660,172.95,,
2680,172.05,,
2700,171.74,,
2720,171.55,,
2740,170.07,,
2760,167.27,,
2780,166.42,,
2800,163.66,,
2820,161.57,,
